metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;Total
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480228;50316007;mean;0,047942;0,05859;0,151998;0,076304;0,066293;0,082715;0,075241;0,052636;0,071226;0,07319;0,0756135
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480258;50316008;mean;0,050737;0,057094;0,142589;0,068221;0,070044;0,080349;0,074349;0,053561;0,068961;0,074625;0,074053
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480288;50316009;mean;0,053918;0,057739;0,144502;0,067122;0,068063;0,074872;0,072715;0,049196;0,066665;0,087099;0,0741891
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480318;50316010;mean;0,054575;0,056857;0,136318;0,067773;0,066719;0,071251;0,068335;0,049942;0,067485;0,085821;0,0725076
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480348;50316011;mean;0,049535;0,056495;0,143711;0,068554;0,06486;0,069075;0,068365;0,055014;0,068567;0,07744;0,0721616
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480378;50316012;mean;0,051855;0,059804;0,128006;0,071495;0,063043;0,072;0,067167;0,055806;0,067446;0,077216;0,0713838
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480408;50316013;mean;0,052678;0,062893;0,135573;0,069144;0,064679;0,072434;0,063349;0,056048;0,068341;0,080983;0,0726122
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480438;50316014;mean;0,048304;0,05883;0,157701;0,059736;0,065552;0,067984;0,061995;0,056663;0,06628;0,076449;0,0719494
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480468;50316015;mean;0,051703;0,054867;0,141469;0,060437;0,064474;0,069057;0,065406;0,050849;0,067309;0,072256;0,0697827
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480498;50316016;mean;0,052081;0,053105;0,139493;0,060576;0,068037;0,06958;0,068482;0,053113;0,06307;0,072821;0,0700358
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480528;50316017;mean;0,04914;0,054914;0,13968;0,061462;0,062728;0,072177;0,067997;0,053998;0,06501;0,070208;0,0697314
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480558;50316018;mean;0,046459;0,058365;0,135627;0,06542;0,066867;0,072127;0,062858;0,05043;0,060784;0,070934;0,0689871
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480588;50316019;mean;0,049024;0,055176;0,1337;0,060449;0,06379;0,072691;0,064558;0,051127;0,061942;0,071622;0,0684079
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480618;50316020;mean;0,051952;0,054504;0,141466;0,054175;0,06822;0,064797;0,067669;0,051992;0,065142;0,075157;0,0695074
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480648;50316021;mean;0,053273;0,053637;0,139723;0,057138;0,067298;0,063287;0,072009;0,052959;0,063603;0,076085;0,0699012
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480678;50316022;mean;0,052452;0,059703;0,146855;0,066461;0,064501;0,067475;0,073041;0,0492;0,067175;0,077733;0,0724596
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480708;50316023;mean;0,051165;0,060654;0,140531;0,066984;0,065974;0,075805;0,069412;0,046815;0,069016;0,076986;0,0723342
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480738;50316024;mean;0,049417;0,055802;0,136853;0,064938;0,070246;0,071174;0,066229;0,054227;0,066068;0,074177;0,0709131
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480768;50316025;mean;0,054893;0,057482;0,137507;0,060232;0,072835;0,071315;0,067257;0,052796;0,067531;0,078054;0,0719902
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480798;50316026;mean;0,055328;0,063667;0,135307;0,056324;0,072454;0,078782;0,069351;0,0551;0,062188;0,076165;0,0724666
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480828;50316027;mean;0,054526;0,067904;0,13444;0,06247;0,072641;0,073076;0,072316;0,052532;0,06309;0,077091;0,0730086
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509480858;50316028;mean;0,051106;0,064114;0,134614;0,060366;0,06906;0,073742;0,069704;0,050323;0,067315;0,07447;0,0714814
