metric;timestamp;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;min1
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204451;3,960516;3,938875;3,734965;3,75847;3,838424;3,717597;3,961131;3,86661;3,676897;3,699229;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204481;3,968459;3,913404;3,720454;3,730312;3,866899;3,720693;3,996171;3,872086;3,640368;3,691354;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204511;3,992076;3,930027;3,737598;3,761965;3,873321;3,739606;4,009823;3,887189;3,650819;3,705636;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204541;3,990011;3,941909;3,752914;3,783732;3,925439;3,778881;4,034646;3,883453;3,624111;3,696579;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204571;3,99653;3,919711;3,798569;3,744536;3,921157;3,779447;4,036514;3,886547;3,671353;3,687792;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204601;3,99527;3,891549;3,772521;3,754921;3,887689;3,775531;4,008013;3,895527;3,662262;3,658407;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204631;3,986701;3,891614;3,770279;3,726703;3,876993;3,794076;4,001509;3,890143;3,682815;3,628182;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204661;3,964989;3,913705;3,758328;3,678735;3,878367;3,800651;3,992925;3,870487;3,674499;3,60542;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204691;3,999688;3,935759;3,748917;3,710854;3,894292;3,800314;3,99205;3,849511;3,624656;3,569401;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204721;3,972041;3,919294;3,751336;3,693199;3,908814;3,791293;4,02311;3,827719;3,662217;3,591437;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204751;3,945519;3,889216;3,691984;3,675721;3,873504;3,768683;4,029927;3,802641;3,624301;3,600811;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204781;3,937078;3,854759;3,682788;3,695016;3,882204;3,732517;3,996912;3,779413;3,60376;3,582214;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204811;3,904819;3,822609;3,638639;3,696029;3,877537;3,76282;4,022552;3,810626;3,576258;3,553403;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204841;3,884053;3,797023;3,621141;3,670908;3,873887;3,75064;3,979123;3,843259;3,573065;3,559635;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204871;3,882411;3,786514;3,623646;3,701355;3,875447;3,761944;3,987345;3,847338;3,582816;3,568714;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204901;3,878855;3,802243;3,614279;3,725316;3,826979;3,752028;4,017027;3,842668;3,52676;3,56848;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204931;3,872008;3,803065;3,610607;3,724136;3,782377;3,763414;4,01952;3,838007;3,540168;3,565123;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204961;3,865305;3,789271;3,57009;3,715877;3,775162;3,755896;3,986864;3,814131;3,532613;3,545465;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511204991;3,878433;3,823558;3,613826;3,718712;3,793175;3,726805;3,952257;3,803871;3,546437;3,556305;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205021;3,822061;3,814157;3,631925;3,700398;3,776379;3,691086;3,947107;3,808821;3,569225;3,575421;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205051;3,789637;3,811628;3,636892;3,683902;3,788685;3,683182;3,912558;3,838099;3,589245;3,57343;
Table.ReadLatency.lucasdb.tw_ttl_1h_1min;1511205081;3,798275;3,799245;3,627703;3,658024;3,793532;3,683426;3,939126;3,817058;3,583052;3,602597;
