t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508097019,567776,43.388628,0.056162,0.020502,0.680073,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,173.446930,175.316405,174.631555,169.642651,calls/second,milliseconds
1508097049,572956,43.388628,0.059689,0.017085,0.744137,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.442292,174.754532,174.596972,169.796441,calls/second,milliseconds
1508097079,578132,43.388628,0.053674,0.017085,0.586129,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.433653,174.314982,174.513025,169.925307,calls/second,milliseconds
1508097109,583397,43.388628,0.056364,0.017085,0.681437,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.451979,174.606260,174.530020,170.079563,calls/second,milliseconds
1508097139,588626,43.388628,0.056769,0.017085,0.682382,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,173.459640,174.927168,174.621160,170.257139,calls/second,milliseconds
1508097169,593818,62.479625,0.058948,0.017085,0.799390,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,173.456041,173.510226,174.285267,170.283220,calls/second,milliseconds
1508097199,598993,62.479625,0.058681,0.017085,0.799745,0.042510,0.051012,0.073457,0.088148,0.182785,1.131752,173.447780,172.959916,174.080401,170.343871,calls/second,milliseconds
1508097229,604205,43.388628,0.053179,0.017085,0.561114,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,173.450659,174.222421,174.286552,170.537825,calls/second,milliseconds
1508097259,609407,43.388628,0.053015,0.017085,0.526311,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,173.449922,173.776029,174.140560,170.608556,calls/second,milliseconds
1508097289,614656,43.388628,0.055711,0.017085,0.682167,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,173.462798,174.185405,174.221752,170.753192,calls/second,milliseconds
1508097319,619856,43.388628,0.054224,0.017085,0.616197,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,173.461788,173.549138,174.059116,170.810597,calls/second,milliseconds
1508097349,624973,43.388628,0.050274,0.017085,0.505576,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,173.437373,172.663063,173.773708,170.817462,calls/second,milliseconds
1508097379,630066,43.388628,0.054508,0.017085,0.637228,0.042510,0.051012,0.061214,0.088148,0.152321,1.131752,173.407506,171.914955,173.477323,170.811708,calls/second,milliseconds
1508097409,635334,43.388628,0.053898,0.017085,0.623818,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.424894,173.240960,173.577009,170.929254,calls/second,milliseconds
1508097439,640558,43.388628,0.054811,0.017085,0.623168,0.042510,0.051012,0.061214,0.088148,0.152321,1.629722,173.430952,173.149829,173.522134,170.997143,calls/second,milliseconds
1508097469,645839,43.388628,0.056336,0.017085,0.618340,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.451875,174.989749,173.926810,171.219154,calls/second,milliseconds
1508097499,650873,43.388628,0.052809,0.017085,0.536799,0.042510,0.051012,0.073457,0.088148,0.126934,1.131752,173.406845,172.212979,173.381869,171.121637,calls/second,milliseconds
1508097529,656099,43.388628,0.056885,0.017085,0.622416,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.411275,172.082825,173.235733,171.145115,calls/second,milliseconds
1508097559,661283,43.388628,0.053875,0.017085,0.511238,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,173.406589,172.999972,173.329135,171.244728,calls/second,milliseconds
1508097589,666536,43.388628,0.055206,0.017085,0.586631,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.421332,173.592001,173.453895,171.356633,calls/second,milliseconds
1508097619,671789,43.388628,0.056533,0.017085,0.585080,0.042510,0.051012,0.073457,0.088148,0.152321,1.131752,173.433250,174.534222,173.673238,171.499671,calls/second,milliseconds
1508097649,677062,43.388628,0.054990,0.017085,0.584359,0.042510,0.051012,0.073457,0.088148,0.152321,1.358102,173.452440,174.982056,173.868204,171.638345,calls/second,milliseconds
1508097679,682296,43.388628,0.056327,0.017085,0.585123,0.042510,0.051012,0.073457,0.088148,0.182785,1.358102,173.460018,174.683867,173.877608,171.713227,calls/second,milliseconds
1508097709,687580,43.388628,0.049497,0.017085,0.361922,0.042510,0.051012,0.061214,0.088148,0.152321,1.358102,173.480434,175.074729,174.065975,171.850019,calls/second,milliseconds
