metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
iostat.sda.write_byte_per_second	1511275066	50375835	1110087.673	NULL	NULL	2485993.454	NULL	2670108.837	NULL	3107855.100	NULL	NULL
iostat.sda.write_byte_per_second	1511275096	50375836	2932324.162	NULL	NULL	4320189.175	NULL	3818701.646	NULL	2254448.398	NULL	NULL
iostat.sda.write_byte_per_second	1511275126	50375837	839897.139	NULL	NULL	2936967.950	NULL	2130576.677	NULL	1904503.608	NULL	NULL
iostat.sda.write_byte_per_second	1511275156	50375838	1037969.296	NULL	NULL	2237765.516	NULL	2723544.393	NULL	3459784.687	NULL	NULL
iostat.sda.write_byte_per_second	1511275186	50375839	2399173.292	NULL	NULL	2857830.770	NULL	2294322.927	NULL	2022125.180	NULL	NULL
iostat.sda.write_byte_per_second	1511275216	50375840	713081.829	NULL	NULL	1820032.404	NULL	2053473.744	NULL	3486425.123	NULL	NULL
iostat.sda.write_byte_per_second	1511275246	50375841	2860390.505	NULL	NULL	1602655.517	NULL	3694000.708	NULL	2097240.226	NULL	NULL
iostat.sda.write_byte_per_second	1511275276	50375842	1120196.211	NULL	NULL	4202387.837	NULL	1854922.739	NULL	2321281.733	NULL	NULL
iostat.sda.write_byte_per_second	1511275306	50375843	1966160.865	NULL	NULL	655694.244	NULL	3205314.115	NULL	4270484.066	NULL	NULL
iostat.sda.write_byte_per_second	1511275336	50375844	1131178.478	NULL	NULL	3374932.292	NULL	1698746.667	NULL	3907302.083	NULL	NULL
iostat.sda.write_byte_per_second	1511275366	50375845	2978720.611	NULL	NULL	2266115.796	NULL	1632120.608	NULL	3515508.004	NULL	NULL
iostat.sda.write_byte_per_second	1511275396	50375846	7641958.909	NULL	NULL	1461172.713	NULL	4362649.288	NULL	2393407.973	NULL	NULL
iostat.sda.write_byte_per_second	1511275426	50375847	3008259.704	NULL	NULL	4011758.519	NULL	1784627.143	NULL	5420513.600	NULL	NULL
iostat.sda.write_byte_per_second	1511275456	50375848	2394603.819	NULL	NULL	1988998.110	NULL	4353091.990	NULL	2021789.852	NULL	NULL
iostat.sda.write_byte_per_second	1511275486	50375849	1158741.775	NULL	NULL	3699952.821	NULL	3319374.107	NULL	3451259.460	NULL	NULL
iostat.sda.write_byte_per_second	1511275516	50375850	2863344.673	NULL	NULL	3180118.071	NULL	3997194.566	NULL	2884880.670	NULL	NULL
iostat.sda.write_byte_per_second	1511275546	50375851	1156457.558	NULL	NULL	3934179.691	NULL	3729339.908	NULL	2495128.654	NULL	NULL
iostat.sda.write_byte_per_second	1511275576	50375852	2413486.664	NULL	NULL	3156803.708	NULL	4410669.746	NULL	2225902.703	NULL	NULL
iostat.sda.write_byte_per_second	1511275606	50375853	2826569.585	NULL	NULL	3010900.742	NULL	2991025.731	NULL	2047824.402	NULL	NULL
iostat.sda.write_byte_per_second	1511275636	50375854	1793114.626	NULL	NULL	3660930.450	NULL	6072971.932	NULL	2351024.095	NULL	NULL
